"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Brora 21yo","8.79","0.48","3","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman 100% Islay (all editions)","8.79","0.29","14","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bunnahabhain Ceòbanach","8.78","0.31","8","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Wemyss Malts Kiln Embers","8.78","0.11","3","$$$","SingleMalt-like","J","J","Scotland","Malt"
"BenRiach 18yo Dunder","8.74","0.23","4","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Caol Ila Distiller's Edition (all editions)","8.74","0.39","10","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 6.1","8.73","0.28","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"AnCnoc Flaughter","8.72","0.29","8","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster","8.68","0.31","15","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Jura Prophecy","8.68","0.34","14","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Port Charlotte The Peat Project","8.65","0.3","5","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"BenRiach 17yo Septendecim Peated","8.55","0.59","16","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bunnahabhain Toiteach","8.55","0.43","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Winter 2010 Release","8.54","0.17","4","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Benromach Peat Smoke","8.49","0.27","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Finlaggan Old Reserve","8.47","0.57","12","$$","SingleMalt-like","J","J","Scotland","Malt"
"Tomintoul Peaty Tang","7.96","0.79","8","$$","SingleMalt-like","J","J","Scotland","Malt"
