Whisky	Meta Critic	STDEV	#	Super Cluster	Cluster
Glengoyne 18yo	8.58	0.44	10	ABC	C
Glenmorangie Quinta Ruban	8.58	0.53	19	ABC	B
Talisker Port Ruighe	8.55	0.45	12	ABC	C
Glenglassaugh 26yo	8.54	0.56	5	ABC	A
BenRiach 15yo Tawny Port Finish	8.53	0.23	10	ABC	C
Glengoyne 12yo	8.53	0.43	9	ABC	B
Glengoyne 12yo Cask Strength	8.53	0.4	9	ABC	B
Tobermory 15yo	8.53	0.37	12	ABC	C
Highland Park Dark Origins	8.51	0.53	14	ABC	C
Glengoyne 15yo	8.47	0.53	8	ABC	B
Glenmorangie Milsean	8.47	0.55	3	ABC	A
Macallan 10yo (OB	 Sherry Oak)	8.47	0.42	SingleMalt-like	ABC
Balvenie 12yo Doublewood	8.45	0.38	17	ABC	A
Glenmorangie Lasanta	8.44	0.34	16	ABC	A
Glentauchers 1991 18yo (Gordon & MacPhail)	8.43	0.27	3	ABC	B
Blair Athol 12yo (F&F)	8.41	0.56	6	ABC	C
Glenfiddich 19yo Age of Discovery (Madeira Cask)	8.41	0.38	10	ABC	A
GlenDronach 14yo Sauternes Cask Finish	8.39	0.4	6	ABC	A
Tomatin Cu Bocan Sherry Edition	8.39	0.37	3	ABC	C
Wemyss Malts The Spice King	8.39	0.33	11	ABC	C
Aberlour 12yo Double Cask Matured	8.38	0.18	10	ABC	B
Dalmore 15yo	8.37	0.57	14	ABC	C
Glenfarclas 10yo	8.36	0.37	10	ABC	B
Jura 12yo Elixir	8.33	0.52	9	ABC	C
Glenfiddich Malt Master's Edition	8.3	0.33	7	ABC	A
Wemyss Malts Velvet Fig	8.27	1.16	5	ABC	A
Aberlour 10yo	8.26	0.45	12	ABC	C
Balvenie 12yo Triple Cask	8.24	0.45	6	ABC	A
Auchentoshan Three Wood	8.23	0.44	19	ABC	A
Dalmore Cigar Malt Reserve	8.23	0.71	10	ABC	C
Arran Malt Sherry Cask	8.22	0.52	10	ABC	C
Glenlivet Nadurra Oloroso	8.18	0.66	6	ABC	A
Ben Nevis 10yo	8.17	0.46	11	ABC	C
Glenrothes Sherry Cask Reserve	8.08	0.87	7	ABC	A
Tullibardine 1993 Port	7.98	0.38	5	ABC	B
Benrinnes 15yo F&F	7.91	0.8	4	ABC	C
Royal Lochnagar 12yo	7.83	0.32	10	ABC	C
Cragganmore 25yo	9.11	0.05	3	EF	E
Glenlivet Nadurra First Fill (White Oak)	9.08	0.27	3	EF	E
Glenmorangie Ealanta	8.89	0.34	11	EF	F
Glenlivet 21yo Archive (all batches)	8.88	0.33	11	EF	E
Compass Box Oak Cross	8.85	0.32	9	EF	F
Old Pulteney 17yo	8.85	0.29	14	EF	E
Strathmill 25yo	8.84	0.44	4	EF	E
BenRiach 25yo	8.82	0.49	12	EF	E
Compass Box Spice Tree	8.82	0.35	15	EF	F
Clynelish 14yo	8.81	0.27	13	EF	F
Glenfiddich 19yo Age of Discovery (Bourbon Cask)	8.81	0.37	6	EF	E
Glenfiddich Cask of Dreams	8.79	0.27	6	EF	F
Aberfeldy 21yo	8.78	0.19	9	EF	E
Glenfiddich 15yo Distillers Edition	8.77	0.34	10	EF	E
Auchentoshan 21yo	8.75	0.34	10	EF	E
Mortlach Special Strength	8.74	0.64	5	EF	E
Glenfiddich 14yo Rich Oak	8.71	0.31	7	EF	E
Mortlach 18yo	8.71	0.73	7	EF	E
Balvenie 12yo Single Barrel	8.69	0.42	8	EF	E
Glenrothes Vintage Reserve (NAS)	8.68	0.28	3	EF	E
Glenmorangie 18yo Extremely Rare	8.67	0.23	10	EF	E
Glen Garioch 12yo	8.66	0.35	12	EF	F
Glenrothes Vintage 1995 (2011/2012/2014 bottlings)	8.63	0.28	12	EF	E
Glenlivet 18yo	8.6	0.19	17	EF	E
Craigellachie 17yo	8.58	0.31	6	EF	E
Glenfiddich 18yo	8.58	0.45	13	EF	E
Mortlach Rare Old	8.56	0.4	10	EF	E
Bunnahabhain 12yo	8.53	0.37	11	EF	F
Arran Malt Sauternes Finish	8.51	0.36	9	EF	E
